127.0.0.1 - - [22/Feb/2017:09:54:38 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:54:44 +0530] "GET /penandpaper.in/ HTTP/1.1" 200 30260
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:14 +0530] "GET /penandpaper.in/ HTTP/1.1" 200 30260
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:26 +0530] "GET /penandpaper.in/admin/product/productform HTTP/1.1" 200 6897
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:29 +0530] "GET /penandpaper.in/all/product/getAllProducts HTTP/1.1" 200 28681
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:29 +0530] "GET /penandpaper.in/all/product/Resources/images/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:29 +0530] "GET /penandpaper.in/all/product/Resources/images/5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:29 +0530] "GET /penandpaper.in/all/product/Resources/images/4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:29 +0530] "GET /penandpaper.in/all/product/Resources/images/9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:29 +0530] "GET /penandpaper.in/all/product/Resources/images/6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:29 +0530] "GET /penandpaper.in/all/product/Resources/images/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:29 +0530] "GET /penandpaper.in/all/product/Resources/images/10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:29 +0530] "GET /penandpaper.in/all/product/Resources/images/11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:29 +0530] "GET /penandpaper.in/all/product/Resources/images/14.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:29 +0530] "GET /penandpaper.in/all/product/Resources/images/17.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:30 +0530] "GET /penandpaper.in/all/product/Resources/images/12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:30 +0530] "GET /penandpaper.in/all/product/Resources/images/13.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:30 +0530] "GET /penandpaper.in/all/product/Resources/images/16.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:30 +0530] "GET /penandpaper.in/all/product/Resources/images/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:30 +0530] "GET /penandpaper.in/all/product/Resources/images/19.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:30 +0530] "GET /penandpaper.in/all/product/Resources/images/18.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:30 +0530] "GET /penandpaper.in/all/product/Resources/images/23.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:30 +0530] "GET /penandpaper.in/all/product/Resources/images/20.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:09:55:30 +0530] "GET /penandpaper.in/all/product/Resources/images/21.png HTTP/1.1" 304 -
