127.0.0.1 - - [17/Feb/2017:17:41:40 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:46 +0530] "GET /penandpaper.in/ HTTP/1.1" 200 32604
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:47 +0530] "GET /penandpaper.in/Resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:47 +0530] "GET /penandpaper.in/Resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:47 +0530] "GET /penandpaper.in/Resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:48 +0530] "GET /penandpaper.in/Resources/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:48 +0530] "GET /penandpaper.in/Resources/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:48 +0530] "GET /penandpaper.in/Resources/images/slide1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:48 +0530] "GET /penandpaper.in/Resources/images/slide3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:48 +0530] "GET /penandpaper.in/Resources/images/slide2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:49 +0530] "GET /penandpaper.in/Resources/images/discount.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:49 +0530] "GET /penandpaper.in/Resources/images/slide4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:49 +0530] "GET /penandpaper.in/Resources/images/office.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:49 +0530] "GET /penandpaper.in/Resources/images/scl.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:49 +0530] "GET /penandpaper.in/Resources/images/art.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:49 +0530] "GET /penandpaper.in/Resources/images/party.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:49 +0530] "GET /penandpaper.in/Resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:49 +0530] "GET /penandpaper.in/Resources/images/envelopes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:50 +0530] "GET /penandpaper.in/Resources/images/officemachines.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:50 +0530] "GET /penandpaper.in/Resources/images/liquid%20gum%20tube.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:50 +0530] "GET /penandpaper.in/Resources/images/color%20chalk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:50 +0530] "GET /penandpaper.in/Resources/images/marker.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:50 +0530] "GET /penandpaper.in/Resources/images/ashoka%20stamp%20pad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:50 +0530] "GET /penandpaper.in/Resources/images/notepad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:50 +0530] "GET /penandpaper.in/Resources/images/class%20mate%20registers.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:50 +0530] "GET /penandpaper.in/Resources/images/envelops.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:50 +0530] "GET /penandpaper.in/Resources/images/folders.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:41:51 +0530] "GET /penandpaper.in/Resources/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:42:06 +0530] "GET /penandpaper.in/ HTTP/1.1" 200 32604
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:42:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:43:30 +0530] "GET /penandpaper.in/aboutus HTTP/1.1" 200 14951
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:43:30 +0530] "GET /penandpaper.in/Resources/images/about_us_banner.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:47:22 +0530] "GET /penandpaper.in/ HTTP/1.1" 200 32604
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:47:44 +0530] "GET /penandpaper.in/aboutus HTTP/1.1" 200 14951
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:48:05 +0530] "GET /penandpaper.in/contactus HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:48:05 +0530] "GET /penandpaper.in/register HTTP/1.1" 200 14511
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:48:06 +0530] "GET /penandpaper.in/Resources/images/register_here.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:48:54 +0530] "GET /penandpaper.in/home HTTP/1.1" 200 32604
