0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:38 +0530] "GET /penandpaper.in/all/product/Resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:38 +0530] "GET /penandpaper.in/all/product/Resources/css/header.css HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:38 +0530] "GET /penandpaper.in/all/product/Resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:38 +0530] "GET /penandpaper.in/all/product/getAllProducts HTTP/1.1" 200 30332
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:38 +0530] "GET /penandpaper.in/all/product/Resources/images/logo.png HTTP/1.1" 200 23875
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:39 +0530] "GET /penandpaper.in/all/product/Resources/images/1.png HTTP/1.1" 200 232434
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:39 +0530] "GET /penandpaper.in/all/product/Resources/images/2.png HTTP/1.1" 200 89803
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:39 +0530] "GET /penandpaper.in/all/product/Resources/images/4.png HTTP/1.1" 200 116739
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:39 +0530] "GET /penandpaper.in/all/product/Resources/css/footer.css HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:39 +0530] "GET /penandpaper.in/all/product/Resources/images/11.png HTTP/1.1" 200 20979
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:39 +0530] "GET /penandpaper.in/all/product/Resources/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:39 +0530] "GET /penandpaper.in/all/product/Resources/images/5.png HTTP/1.1" 200 35231
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:39 +0530] "GET /penandpaper.in/all/product/Resources/images/6.png HTTP/1.1" 200 125398
